FI,"Elisa on ottanut 1.1.2021 alkaen yritysasiakkaille käyttöön 35 euron viivästysmaksun (vakiokorvauksen) korvaamaan aikaisemmat maksukehotuksiin perustuvat veloitukset. Muutoksella pyritään tehostamaan laskujen maksamista eräpäivänä, jotta viivästyksiä yritysten välisessä rahaliikenteessä ei syntyisi. Viivästysmaksu (vakiokorvaus) perustuu saatavien perinnästä annettuun lakiin (10 e §) ja veloitetaan, mikäli laskua ei ole maksettu eräpäivään mennessä."
SV,"Den 1 januari 2021 har Elisa infört en dröjsmålsavgift (standardersättning) på 35 euro för företagskunder. Dröjsmålsavgiften ersätter tidigare debiteringar på grundval av avgifter för betalningsuppmaningar. Avsikten med ändringen är att effektivisera betalningen av fakturor på förfallodagen för att undvika dröjsmål i finansiella transaktioner mellan företag. Dröjsmålsavgiften (standardersättning) grundar sig på lagen om indrivning av fordringar (10 e §) och uppbärs om en faktura inte har betalats senast på förfallodagen."
EN,"Starting from 1 January 2021, Elisa has introduced a late payment charge of €35 (standard compensation) for corporate customers, replacing earlier charges that were based on payment reminders. The change seeks to promote the payment of invoices by the due date to eliminate delays in payment transactions between companies. The late payment charge (standard compensation) is based on the Debt Collection Act (section 10 e), and it will be charged if an invoice has not been paid by the due date."
